airport,date,day,month,year,temp_max,temp_min
AVL,8-16-2015,16,8,2015,83,60,
AVL,8-17-2015,17,8,2015,86,62,
AVL,8-18-2015,18,8,2015,87,62,
AVL,8-19-2015,19,8,2015,86,63,
AVP,8-10-2015,10,8,2015,78,67,
AVP,8-11-2015,11,8,2015,79,62,
AVP,8-12-2015,12,8,2015,78,53,
AVP,8-13-2015,13,8,2015,79,60,
AVP,8-14-2015,14,8,2015,86,63,
AVP,8-15-2015,15,8,2015,85,62,
AVP,8-16-2015,16,8,2015,87,63,
AVP,8-17-2015,17,8,2015,89,64,
AVP,8-18-2015,18,8,2015,89,63,
AVP,8-19-2015,19,8,2015,87,63,
AXN,8-10-2015,10,8,2015,78,57,
AXN,8-11-2015,11,8,2015,82,60,
AXN,8-12-2015,12,8,2015,88,66,
AXN,8-13-2015,13,8,2015,90,66,
AXN,8-14-2015,14,8,2015,89,66,
AXN,8-15-2015,15,8,2015,93,64,
AXN,8-16-2015,16,8,2015,79,58,
AXN,8-17-2015,17,8,2015,78,58,
AXN,8-18-2015,18,8,2015,78,60,
AXN,8-19-2015,19,8,2015,80,59,
AZO,8-10-2015,10,8,2015,80,62,
AZO,8-11-2015,11,8,2015,79,56,
AZO,8-12-2015,12,8,2015,77,59,
AZO,8-13-2015,13,8,2015,85,65,
AZO,8-14-2015,14,8,2015,85,63,
AZO,8-15-2015,15,8,2015,86,63,
AZO,8-16-2015,16,8,2015,88,66,
AZO,8-17-2015,17,8,2015,87,62,
AZO,8-18-2015,18,8,2015,85,61,
AZO,8-19-2015,19,8,2015,85,63,
BBW,8-10-2015,10,8,2015,81,59,
BBW,8-11-2015,11,8,2015,86,62,
BBW,8-12-2015,12,8,2015,88,64,
BBW,8-13-2015,13,8,2015,92,66,
BBW,8-14-2015,14,8,2015,92,67,
BBW,8-15-2015,15,8,2015,93,66,
BBW,8-16-2015,16,8,2015,83,61,
BBW,8-17-2015,17,8,2015,84,61,
BBW,8-18-2015,18,8,2015,88,62,
BBW,8-19-2015,19,8,2015,87,61,
BDL,8-10-2015,10,8,2015,82,66,
BDL,8-11-2015,11,8,2015,75,64,
BDL,8-12-2015,12,8,2015,84,59,
BDL,8-13-2015,13,8,2015,82,58,
BDL,8-14-2015,14,8,2015,87,64,
BDL,8-15-2015,15,8,2015,88,64,
BDL,8-16-2015,16,8,2015,87,62,
BDL,8-17-2015,17,8,2015,88,64,
BDL,8-18-2015,18,8,2015,90,63,
BDL,8-19-2015,19,8,2015,88,62,
BDR,8-10-2015,10,8,2015,79,69,
BDR,8-11-2015,11,8,2015,77,68,
BDR,8-12-2015,12,8,2015,83,63,
BDR,8-13-2015,13,8,2015,82,66,
BDR,8-14-2015,14,8,2015,85,69,
BDR,8-15-2015,15,8,2015,86,69,
BDR,8-16-2015,16,8,2015,85,69,
BDR,8-17-2015,17,8,2015,87,69,
BDR,8-18-2015,18,8,2015,88,68,
BDR,8-19-2015,19,8,2015,86,68,
BDU,8-11-2015,11,8,2015,73,54,
BDU,8-12-2015,12,8,2015,58,46,
BDU,8-13-2015,13,8,2015,55,46,
BDU,8-14-2015,14,8,2015,58,44,
BDU,8-15-2015,15,8,2015,69,48,
BDU,8-16-2015,16,8,2015,75,54,
BDU,8-17-2015,17,8,2015,71,54,
BDU,8-18-2015,18,8,2015,69,52,
BDU,8-19-2015,19,8,2015,65,51,
BDU,8-20-2015,20,8,2015,64,50,
BEH,8-10-2015,10,8,2015,76,62,
BEH,8-11-2015,11,8,2015,74,58,
BEH,8-12-2015,12,8,2015,74,60,
BEH,8-13-2015,13,8,2015,83,65,
BEH,8-14-2015,14,8,2015,82,64,
BEH,8-15-2015,15,8,2015,84,64,
BEH,8-16-2015,16,8,2015,87,67,
BEH,8-17-2015,17,8,2015,83,64,
BEH,8-18-2015,18,8,2015,84,63,
BEH,8-19-2015,19,8,2015,85,65,
BET,8-10-2015,10,8,2015,54,44,
BET,8-11-2015,11,8,2015,56,49,
BET,8-12-2015,12,8,2015,61,47,
BET,8-13-2015,13,8,2015,63,48,
BET,8-14-2015,14,8,2015,62,48,
BET,8-15-2015,15,8,2015,61,48,
BET,8-16-2015,16,8,2015,62,51,
BET,8-17-2015,17,8,2015,61,51,
BET,8-18-2015,18,8,2015,57,48,
BET,8-19-2015,19,8,2015,56,45,
BFD,8-10-2015,10,8,2015,81,62,
BFD,8-11-2015,11,8,2015,78,55,
